id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
18,78193,Test Drive,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
42,6515,Moto Racer Advance,NULL,2002-10-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
747,45170,Secret Agent Barbie: Royal Jewels Mission,NULL,2002-11-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1290,49573,From TV animation One Piece: Nanatsu Shima no Daihihou,NULL,2002-12-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1771,77121,Jet X2O,NULL,2002-10-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2258,100198,BeyBlade VForce: Super Tournament Battle,NULL,2002-12-19 00:00:00.000,NULL,NULL,NULL,NULL,38.0000,0
2342,44717,Dual Hearts,NULL,2002-10-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2503,70735,Jerusalem: The Three Roads to the Holy Land,"1552. Lord of the Ottoman dynasty, Sulaiman the Magnificent, reigns over the greatest empire in the world. In Jerusalem, the holy city where King David had built the Temple, where Christ preached and where the Prophet Mohammed was swept off to meet Allah, the three religions of the Book live in peace. Having become the confidante to the emissary of Sulaiman the Magnificent, Adrian is faced with the task of untangling the web of intrigue threatening the fragile balance that has been reached by the three communities of the Book. He will have to cooperate with the representative of all three communities in order to save the governor’s daughter.",2002-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
2856,240,Battlefield 1942,NULL,2002-09-10 00:00:00.000,61,NULL,90.0000,1,79.0072,191
3343,49536,Komugi-Chan no Happy Cake,NULL,2002-12-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3393,4038,NCAA College Basketball 2K3,NULL,2002-12-11 00:00:00.000,NULL,NULL,NULL,NULL,44.0000,0
5836,51620,Star Trek Voyager: The Arcade Game,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
6309,70579,Liberal Crime Squad,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
7769,58526,Memorial Series: Sunsoft vol. 6,NULL,2002-11-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
8665,1557,Pokémon Ruby,NULL,2002-11-21 00:00:00.000,87,NULL,NULL,NULL,81.6621,239
9166,37319,Shaman King: Asu e no Ishi,NULL,2002-09-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
10430,8314,WRC II Extreme,NULL,2002-11-29 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
11201,43697,Night Raid,NULL,2002-10-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
11348,4653,Beyblade : Let it Rip,NULL,2002-12-03 00:00:00.000,3,NULL,NULL,NULL,NULL,NULL
11800,92306,Pokémon Sodateyasan Mini,"After setting the time and choosing a name, Professor Birch tells the player that he found rare eggs. However, he is too busy to take care of them, so he gives the player a choice between a Torchic, a Treecko, or a Mudkip to hatch and raise. The player's first task is to place the egg into a basket and stroke it until it hatches.

The player interacts with the Pokémon using the D-pad to move a cursor around the interface. The player can pet, play with, and drag their Pokémon with this cursor. They can also interact with background objects such as a light switch and a drawer.

Unlike standard virtual pet video games, the player's goal in Pokémon Breeder mini is not to keep the Pokémon alive but rather to train it in three out of four different skill categories. The game allows the player to train their Pokémon by playing with it using various toys, feeding it Pokéblocks, and playing with it outside in various challenges.",2002-12-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
11829,5970,NightCaster II: Equinox,NULL,2002-12-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
12890,185960,MayuShoot,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
13239,4021,Mr. Driller: Drill Land,NULL,2002-12-20 00:00:00.000,NULL,NULL,80.0000,2,74.0000,1
13925,49338,Santa Claus Jr. Advance,NULL,2002-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14277,73097,The Trials of Odysseus Kent,NULL,2002-09-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14384,45297,Cabela's Ultimate Deer Hunt: Open Season,NULL,2002-11-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14766,21952,Des Blood 4: Lost Alone,NULL,2002-09-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
15004,49631,Higanbana,NULL,2002-11-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
15556,11314,Unlimited SaGa,NULL,2002-12-19 00:00:00.000,NULL,NULL,43.0000,1,NULL,NULL
15762,49520,Card Party,NULL,2002-11-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
16113,22240,Twisted Metal: Black Online,"Black is on a mission for another person to locate and murder Calypso. However the person who sent him has never before been seen and it is never revealed why exactly he is carrying out this mission. According to the original Twisted Metal created in the year 1995, in TM:B the entire storyline is darker, and is referred to as an ""alternate universe,"" in comparison to the other Twisted Metal games. As stated, it is because it is all in Needles Kane's head. But there is even more to TM:B. Black, the driver of Manslaughter, made an appearance in TM(1995), Darkside's driver Mr. Ash's ""lost"" ending. In that ending he wants his demon ""black"" back, which makes one believe Mr. Ash is Satan. When he gets Black back, Calypso gets very upset. This is because Black is sent on a mission to kill a darker, more evil Calypso in the ""Black"" universe.",2002-09-22 00:00:00.000,NULL,NULL,40.0000,1,NULL,NULL
16148,2793,Rugrats: Royal Ransom,NULL,2002-12-31 00:00:00.000,1,NULL,NULL,NULL,34.0000,0
16167,261,Deer Hunter 2003: Legendary Hunting,NULL,2002-10-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
16786,8785,Haegemonia: Legions of Iron,NULL,2002-11-14 00:00:00.000,1,NULL,75.0000,2,50.0000,4
16851,166321,Harry Potter and the Chamber of Secrets,NULL,2002-11-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
16978,57561,America Double Barrel Collection,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
17197,37320,SD Gundam G Generation: Mono-Eye Gundams,NULL,2002-10-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
18209,1203,Tales of Destiny 2,"The story follows Kyle Dunamis, a young boy with dreams of becoming a great hero like his father Stahn, the hero of the first game. When Kyle sets off one day to the local ruins with his adopted brother Loni, hoping to land an enormous lens that will help to fund his mother Rutee's orphanage, he crosses paths with Reala, a mysterious girl who claims to be searching for a hero. Kyle's determination to prove himself the very same hero that Reala is searching for leads him into conflict with the seemingly benevolent Fortuna Sect, and sends him on a wild journey across time that brings him into contact with many prominent figures from the first game.

The skits that the series is now well known for make a return as well, with characters represented in these sequences by full body portraits for the first time in the series. These portraits, along with the rest of the game's character art, are handled by Mutsumi Inomata, returning to the series after her work on Destiny and Eternia. Inomata's distinctive style, easily identifiable by her character's long, slender limbs and unconventional fashion, is not to all tastes, but several of the game's characters have enjoyed enduring popularity among series fans, ranking within official listings of the series' most popular characters, and making appearances across other media.",2002-11-28 00:00:00.000,4,NULL,NULL,NULL,79.0342,5
18820,43777,Mobile Armor,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
19324,5774,Chase: Hollywood Stunt Driver,NULL,2002-09-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
19782,127176,World War Zero,NULL,2002-10-25 00:00:00.000,NULL,NULL,NULL,NULL,70.0000,0
19794,117316,Sandmen,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
19909,85795,Gauntlet Dark Legacy,NULL,2002-11-25 00:00:00.000,NULL,NULL,NULL,NULL,72.0000,0
20426,44686,Tokimeki Memorial 3,NULL,2002-12-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
20589,67729,Barbie: Groovy Games,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
21486,43410,Twin Caliber,NULL,2002-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
21540,77057,Tantei Jinguuji Saburo: Innocent Black,NULL,2002-10-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
22618,6392,Dual Blades,NULL,2002-10-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
22998,6229,Whacked!,NULL,2002-10-08 00:00:00.000,NULL,NULL,50.0000,1,NULL,NULL
23223,60791,Lupin the 3rd: The Typing,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
23805,6050,Shin Megami Tensei: NINE,NULL,2002-12-05 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
24199,4061,Pac-Man Fever,NULL,2002-09-03 00:00:00.000,2,NULL,NULL,NULL,44.0000,1
24361,116972,Taxi Challenge London,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
25324,126115,Battle Realms + Winter of the Wolf,NULL,2002-11-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
25589,68992,Another War,"Another War follows the story of an adventurer involved in his own private war during World War II in Nazi-occupied Europe. 
 
The plot starts off in a small town in Nazi-occupied France, where a friend of the playable character is captured by Nazis and imprisoned in a castle near the town.",2002-09-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
